business_name,average_inspection_score,business_postal_code,business_latitude,business_longitude,business_location
Battery Street Coffee Roastery,86.0,94111,37.800178,-122.401317,POINT (-122.401317 37.800178)
Bay Monarch,99.0,94133,37.808494,-122.412,POINT (-122.412 37.808494)
Bay Subway,96.0,94127,37.763473,-122.458202,POINT (-122.458202 37.763473)
Bayshore Market Deli & Liquor,81.66666666666667,94124,37.743065,-122.405284,POINT (-122.405284 37.743065)
Beach Street Grill,90.0,94133,37.807358,-122.415294,POINT (-122.415294 37.807358)
Beachside Coffee Bar & Kitchen,86.5,94122,37.760338,-122.508241,POINT (-122.508241 37.760338)
BeiJing Restaurant,72.0,94112,37.723457,-122.43748,POINT (-122.43748 37.723457)
Bella Lucca,91.33333333333333,94102,37.787128,-122.410365,POINT (-122.410365 37.787128)
Belly Good Cafe & Crepes,98.0,94115,37.785457,-122.430317,POINT (-122.430317 37.785457)
Ben & Jerry's,96.0,94102,37.786548,-122.407313,POINT (-122.407313 37.786548)
Ben & Jerry's Haight-Ashbury,96.0,94117,37.770068,-122.446644,POINT (-122.446644 37.770068)
Benkyodo Co,90.0,94115,37.785994,-122.429925,POINT (-122.429925 37.785994)
Benu,96.0,94105,37.785608,-122.399069,POINT (-122.399069 37.785608)
Beretta,91.66666666666667,94110,37.753823,-122.420786,POINT (-122.420786 37.753823)
Bernal Heights Neighborhood Center,100.0,94110,37.72619,-122.433725,POINT (-122.433725 37.72619)
Bernie's,95.0,94114,37.751533,-122.431118,POINT (-122.431118 37.751533)
Beverages & More,94.0,94109,37.787794,-122.421924,POINT (-122.421924 37.787794)
Bi Rite Market,92.0,94110,37.761483,-122.424688,POINT (-122.424688 37.761483)
Bi-Rite Creamery,96.0,94110,37.761504,-122.425817,POINT (-122.425817 37.761504)
Bien Hoa,93.0,94102,37.784734,-122.413776,POINT (-122.413776 37.784734)
Biergarten,94.0,94102,37.77601,-122.424175,POINT (-122.424175 37.77601)
Big Slice Pizza,90.0,94117,37.769893,-122.447588,POINT (-122.447588 37.769893)
Bimbo's 365 Club,94.0,94133,37.803906,-122.415437,POINT (-122.415437 37.803906)
Biscoff Coffee Corner,97.33333333333333,94133,37.80824,-122.410189,POINT (-122.410189 37.80824)
Biscuits & Blues,92.5,94102,37.787324,-122.409925,POINT (-122.409925 37.787324)
Bistro 10 UN,98.0,94102,37.780435,-122.413496,POINT (-122.413496 37.780435)
Bite,91.0,94109,37.788367,-122.415474,POINT (-122.415474 37.788367)
Bix,95.0,94111,37.796778,-122.402875,POINT (-122.402875 37.796778)
Blackwood Thai Cuisine,88.0,94123,37.800508,-122.438824,POINT (-122.438824 37.800508)
Blarney Stone,95.33333333333333,94121,37.780234,-122.479979,POINT (-122.479979 37.780234)
Blue Barn Gourmet,93.0,94123,37.800536,-122.43797,POINT (-122.43797 37.800536)
Blue Bottle Cafe,93.66666666666667,94103,37.782368,-122.40743,POINT (-122.40743 37.782368)
Blue Sky Restaurant,84.0,94133,37.798547,-122.410437,POINT (-122.410437 37.798547)
Bluestem Brasserie,85.0,94103,37.785078,-122.403532,POINT (-122.403532 37.785078)
Bob's Donuts and Pastries,90.5,94109,37.791914,-122.420984,POINT (-122.420984 37.791914)
Bohemian Cigar Store,86.66666666666667,94133,37.800135,-122.409854,POINT (-122.409854 37.800135)
Bohemian Club,95.0,94102,37.788227,-122.411727,POINT (-122.411727 37.788227)
Bon Appetit @ Adobe,88.0,94107,37.771742,-122.401677,POINT (-122.401677 37.771742)
Bon Appetit @ Twitter,96.55555555555556,94103,37.777168,-122.416702,POINT (-122.416702 37.777168)
Bon Appetit @ USF-LAW SCHOOL CAFE,98.0,94117,37.774941,-122.452797,POINT (-122.452797 37.774941)
Bon Appetit @ USF-Market Cafe,83.0,94117,37.775117,-122.452065,POINT (-122.452065 37.775117)
Bon Appetit @USF- Outtakes,95.0,94117,37.778106,-122.451533,POINT (-122.451533 37.778106)
Borodudur Restaurant,91.33333333333333,94109,37.787677,-122.413624,POINT (-122.413624 37.787677)
Bouche,94.5,94108,37.790323,-122.407348,POINT (-122.407348 37.790323)
Boudin Bakery,93.3,94133,37.795108,-122.396184,POINT (-122.396184 37.795108)
Boudin Bakery & Cafe,95.75,94133,37.808352,-122.415157,POINT (-122.415157 37.808352)
Boudin Petit Cafe,96.0,94102,37.786548,-122.407313,POINT (-122.407313 37.786548)
Boudin Restaurant,93.33333333333333,94133,37.808352,-122.415157,POINT (-122.415157 37.808352)
Boudin Sourdough Bakery,90.0,94132,37.728497,-122.475639,POINT (-122.475639 37.728497)
Boulette's Larder,96.5,94111,37.795184,-122.393819,POINT (-122.393819 37.795184)
Bow Hon Restaurant,81.75,94108,37.794958,-122.406367,POINT (-122.406367 37.794958)
Boxed Foods Company,82.0,94108,37.790453,-122.403994,POINT (-122.403994 37.790453)
Brandy Ho's Hunan Food,85.0,94133,37.797407,-122.405996,POINT (-122.405996 37.797407)
Bread and Cocoa,82.5,94104,37.789781,-122.403792,POINT (-122.403792 37.789781)
Brenda's French Soul Food,79.25,94102,37.782672,-122.419026,POINT (-122.419026 37.782672)
Brendas Meat & Three,91.0,94115,37.778194,-122.438474,POINT (-122.438474 37.778194)
"Broadmoor, The",88.33333333333333,94109,37.787153,-122.424697,POINT (-122.424697 37.787153)
Brothers Pizza,91.66666666666667,94116,37.741723,-122.505149,POINT (-122.505149 37.741723)
Brothers Restaurant,87.5,94118,37.781148,-122.463762,POINT (-122.463762 37.781148)
Bruno's,95.0,94110,37.758914,-122.419036,POINT (-122.419036 37.758914)
